# Purpose: compare 150-cell matrix recovery with the digitized SPE6 Fig. 1 reference.
time_years,oil_saturation_inventory_recovery_pct,oil_component_mass_recovery_pct,spe6_digitized_recovery_pct,volume_minus_spe6_percentage_points,matrix_oil_saturation,matrix_gas_saturation,matrix_water_saturation,matrix_mean_pressure_pa
0.0,0.0,0.0,0.0,0.0,0.799983146809332,2.2890927076308157e-05,0.2000001487668697,31126924.632638067
0.25,9.641377349505042,9.640047804471319,10.0,-0.3586226504949579,0.7228543711240797,0.07714428748916687,0.20000134139830436,31125239.71636793
0.5,16.902702343516662,16.901041893503788,20.0,-3.097297656483338,0.6647651210337011,0.1352325319015601,0.2000023470715659,31124718.79176719
0.75,22.450246789185847,22.44835310375677,24.0,-1.5497532108141527,0.6203857858672304,0.17961086013983452,0.20000335400067504,31124289.614599444
1.0,26.670891133460017,26.668773688638936,28.000000000000004,-1.3291088665399862,0.5866213959276633,0.21337424706730318,0.20000435701027655,31123958.27639478
1.25,29.82180262661226,29.81945904425405,30.5,-0.6781973733877393,0.5614146960780534,0.23857993018245022,0.2000053737436831,31123610.80434943
1.5,32.08338139949104,32.08088249503722,33.0,-0.9166186005089614,0.5433224890217043,0.2566711268839525,0.2000063840957904,31123348.245516296
1.75,33.687914539334095,33.68530158804742,34.5,-0.8120854606659051,0.5304865266812573,0.2695060820940362,0.20000739122766625,31123141.522900917
2.0,34.858496702502336,34.855759953273676,36.0,-1.141503297497664,0.5211221079206056,0.278869485501774,0.20000840657681496,31122917.546215236
2.25,35.725348250524846,35.722523572436636,36.75,-1.0246517494751544,0.5141874724719229,0.28580311142037934,0.20000941610802492,31122745.331689835
2.5,36.37505869838953,36.37215382143258,37.5,-1.1249413016104697,0.5089899289860117,0.2909996444712984,0.20001042654278334,31122584.217201732
2.75,36.875814512988946,36.872845573020165,38.0,-1.1241854870110544,0.5049839919049959,0.29500457433683175,0.20001143375866234,31122452.08983023
3.0,37.27324681240694,37.27022818874788,38.5,-1.2267531875930615,0.5018046201675602,0.29818294222716674,0.20001243760569934,31122346.498511646
3.25,37.59439258440863,37.59133457480671,38.75,-1.1556074155913691,0.49923552393473664,0.3007510370810953,0.20001343898415827,31122260.511935126
3.5,37.857340797119846,37.854251074387776,39.0,-1.1426592028801537,0.49713199545748843,0.30285356608020386,0.2000144384623086,31122189.619347706
3.75,38.07492751908935,38.07181193372999,39.25,-1.17507248091065,0.4953913490141059,0.30459321454185895,0.20001543644412165,31122130.581702296
4.0,38.256574216241134,38.253437311723026,39.5,-1.243425783758866,0.49393821494638607,0.306045351826869,0.20001643322678916,31122080.99580122
4.25,38.40936347547379,38.406208835030554,39.625,-1.2156365245262108,0.4927159341102707,0.30726663685608474,0.20001742903352923,31122039.04111219
4.5,38.53872128720821,38.535551774325995,39.75,-1.2112787127917883,0.49168109976743696,0.3083004761976495,0.20001842403485479,31122003.315106012
4.75,38.64887031832532,38.645688247557196,39.875,-1.2261296816746778,0.49079993150274565,0.3091806501342877,0.20001941836297507,31121972.721439674
5.0,38.74314099399365,38.7399482548002,40.0,-1.2568590060063514,0.49004578663879617,0.30993380123948816,0.2000204121217825,31121946.392040618
