# Purpose: compare dual-continuum single-block matrix oil recovery with the digitized Thomas 1983 Fig. 4 curve.
time_years,matrix_oil_component_mass_recovery_pct,normalized_oil_saturation_reduction_pct,oil_component_mass_minus_thomas_percentage_points,thomas_fig4_recovery_pct,matrix_oil_saturation,matrix_gas_saturation,matrix_water_saturation
0.0,0.0,0.0,0.0,0.0,0.800628255202163,0.00019060391729591971,0.19918103540256257
0.25,8.587914282262988,9.246808297927789,-3.9120857177370123,12.5,0.7265956952645749,0.07412816733558245,0.19927613762410912
0.5,13.257588678016196,14.511431159824184,-13.742411321983804,27.0,0.6844456371023996,0.11618259705594976,0.19937176593162811
0.75,16.068745809386677,17.890947093713095,-19.181254190613323,35.25,0.6573882776466258,0.1431441977620617,0.19946752492502134
1.0,17.6935593250372,20.07767337602958,-22.3064406749628,40.0,0.6398807291664681,0.16055597836564964,0.19956329291338773
1.25,18.49031267341158,21.434649227868597,-23.88468732658842,42.375,0.6290163970803747,0.17132471956312273,0.19965888340409998
1.5,18.735028756560045,22.251835092972726,-25.414971243439954,44.15,0.6224737761468329,0.17777142497777157,0.19975479905684332
1.75,18.736987123693062,22.833620681825273,-26.73801287630694,45.475,0.617815836337785,0.18233366581504742,0.1998504978742175
2.0,18.73698713559123,23.415598364559777,-27.26301286440877,46.0,0.6131563585708418,0.18689709251630762,0.19994654907928505
2.25,18.73698714745172,23.98958435472599,-27.26301285254828,46.0,0.6085608645526692,0.19139676662572178,0.20004236884275745
2.5,18.736987159334863,24.498018290394686,-27.263012840665137,46.0,0.6044901988046693,0.19537149276193183,0.20013830856727352
