# Purpose: Record volume-weighted matrix phase saturation by height at 2.5 years.
variant,height_m,oil_saturation,gas_saturation,water_saturation
right,0.1527048,0.7977463675038652,0.0017679992561306706,0.2004856332400041
right,0.6099048,0.5287980652823665,0.27078636917907506,0.2004155655385585
right,1.2195048,0.3559202839685218,0.44367456554962553,0.20040515048185273
right,1.8291048,0.30068301249224655,0.4989236650872509,0.2003933224205024
right,2.4387048,0.27354461661608925,0.5260746760816913,0.20038070730221946
right,2.8959048,0.25402464870068114,0.5456631499181998,0.20031220138111902
