fracture_pc_mode,time_years,matrix_oil_pressure_psig,matrix_gas_saturation,matrix_oil_inventory_stb,matrix_total_gas_inventory_scf,oil_recovery_pct,oil_potential_difference_psi,gas_potential_difference_psi,oil_rate_stb_day,total_gas_rate_scf_day
zero,0.0,5545.0,0.0,23.056000864600033,35275.68132283805,0.0,0.7384235666461519,-0.7399999999997817,0.04274944057174774,-301.9391903071967
zero,0.25,5476.590047788296,0.14456285521306667,19.03184387388867,39601.8148389778,17.45383778541585,0.7741842496690059,-0.16290163587655115,0.03182418844678706,-33.02775983527623
zero,0.5,5407.97209689667,0.2272123578257657,16.75845139750836,41877.63593659266,27.314144825353782,0.6019661312392913,-0.0948055496046436,0.01937368495659334,-18.467591539289046
zero,0.75,5339.401236415884,0.2801223668048942,15.32691123767712,43171.336861015036,33.52311475139683,0.47683069412366375,-0.05823203098771046,0.012625660430159268,-10.620111350793074
zero,1.0,5270.859847391957,0.3161922632739051,14.373535762427037,43910.691628142435,37.65815742791705,0.3811641090284259,-0.03651461078061402,0.008575610945514402,-5.944433412130024
zero,1.25,5202.33234923447,0.3416935504586044,13.720510905941072,44278.73708810848,40.49049969022418,0.29982053889117355,-0.021575249651505146,0.005893339024630456,-2.492901800617128
zero,1.5,5133.81625693488,0.36007128060701227,13.271908931247019,44404.500115657356,42.436205614371815,0.22999586737168176,-0.011962902818595467,0.004051185127683564,-0.3970930371138657
zero,1.75,5065.310345435761,0.37355653834755753,12.965063156858283,44370.36643270993,43.767077243804586,0.1703365786514245,-0.005264876945147989,0.0027435020539451193,1.0628743703545038
zero,2.0,4996.812097018389,0.383528350579499,12.761054635384243,44222.59548631366,44.65191639120102,0.11832899888761028,-0.0004016757793579018,0.0017725865344256017,2.1229451322611435
zero,2.25,4928.32078284799,0.39086494580725434,12.63401860617351,43988.701388176065,45.20290539383323,0.07324482672056332,0.005927138156039291,0.00103465080097673,3.2986707898455325
zero,2.5,4859.819759867187,0.3955447558414482,12.57673367307509,43649.874939470596,45.451365364991425,0.018395592120458604,0.011256152330133773,0.00024734272383073667,4.095126982131728
endpoint,0.0,5545.0,0.0,23.056000864600033,35275.68132283805,0.0,2.0084235666465884,-0.7399999999997817,0.11627335283354935,-189.44760454664024
endpoint,0.25,5476.1930917822665,0.251229482887716,15.935274563544834,43069.3360607277,30.884481410600117,1.721276637176756,-0.26796008485962375,0.05187817656673177,-55.042523784886455
endpoint,0.5,5407.531782671265,0.37311843061158145,12.490184229035746,46602.58872183827,45.826753293486135,1.5797062348261801,-0.13227860156803217,0.026804366600831204,-26.106661009159552
endpoint,0.75,5338.946032626969,0.43906292921206697,10.641603620760653,48300.5396578552,53.84453842079928,1.5136837716226277,-0.06984806128548371,0.015135585799460418,-12.753848091482034
endpoint,1.0,5270.402664041878,0.4779669570234231,9.567833020853406,49115.67418407799,58.50176673291261,1.4900386341451164,-0.03735723695353954,0.00898234237393084,-5.786843294500182
endpoint,1.25,5201.854374245636,0.5019553628561045,8.923162771395726,49409.76942810623,61.29787284534558,1.4820957299353024,-0.017794575301195437,0.0054309987564081195,-1.2631991811861827
endpoint,1.5,5133.139235089704,0.5170730096086611,8.536081596498022,49405.288371678056,62.976746719314015,1.3137206840185076,-0.006772264948267548,0.0032732169177379362,1.1113057303787666
endpoint,1.75,5064.471939628989,0.5270929451714784,8.297920080984834,49238.56116578678,64.00971647374728,1.1931690621400337,-0.0006473662460848573,0.002052507591808446,2.4233948290711522
endpoint,2.0,4995.8339292532155,0.5341307908653967,8.147375660825995,48978.9530980887,64.66266761233776,1.1018883910869788,0.003144419779346208,0.0013035539795425027,3.203153870418069
endpoint,2.25,4927.211180586076,0.5392708064123483,8.052176317785376,48658.33791772824,65.07557245043041,1.0301938724881874,0.006667204932455206,0.0008173891431170379,4.258933393951822
endpoint,2.5,4858.561280651413,0.5429861949135759,7.992995562861162,48255.838628152385,65.33225510442475,0.9769453815592848,0.008075250704678183,0.0004989006481192801,4.541324973902514
