# Purpose: compare stored GEOS kro with Thomas Table 3 and Eq. (25) at 2.5 years.
subregion,height_m,volume_m3,oil_saturation,gas_saturation,water_saturation,geos_oil_relperm,thomas_eq25_oil_relperm,geos_minus_thomas,geos_over_thomas
m_1_1_1,0.1527048,0.028316846591999994,0.7986649811881048,0.0008499063390232347,0.2004851124728718,0.9955932452921965,0.9960951387086654,-0.0005018934164688904,0.9994961390765148
m_1_1_2,0.6099048,0.05663369318400001,0.5297078081774129,0.26987569708385717,0.20041649473873008,0.3090172111057658,0.3097601977132629,-0.0007429866074971092,0.9976014135677145
m_1_1_3,1.2195047999999997,0.05663369318399999,0.3554591630622365,0.444134915796264,0.2004059211414995,0.07304044321909173,0.07342159971521856,-0.00038115649612682767,0.9948086598820344
m_1_1_4,1.8291047999999999,0.05663369318399998,0.30015590221890953,0.4994504351013918,0.2003936626796987,0.02762893511561282,0.02805224235550946,-0.0004233072398966385,0.9849100391144489
m_1_1_5,2.4387048,0.05663369318400004,0.2733861233882204,0.5262329587079194,0.20038091790386017,0.012518687210767376,0.012879578405184833,-0.00036089119441745643,0.9719795801489763
m_1_1_6,2.8959048000000003,0.028316846591999963,0.2539704921527131,0.5457175434457816,0.20031196440150548,0.0015886155268721724,0.0020191272917585157,-0.00043051176488634324,0.7867832470773063
m_1_2_1,0.1527048,0.056633693184,0.7983025523640808,0.00121222833024757,0.20048521930567154,0.9945056029878991,0.9950092271261273,-0.0005036241382281315,0.9994938497809888
m_1_2_2,0.6099048,0.11326738636800002,0.5290964604320046,0.27048724448087097,0.2004162950871245,0.3077948521669259,0.3085383474879558,-0.0007434953210298523,0.9975902660817263
m_1_2_3,1.2195047999999997,0.113267386368,0.35553727866982826,0.44405695075827323,0.2004057705718984,0.07310459466511804,0.07348570734131643,-0.00038111267619839184,0.9948137850204224
m_1_2_4,1.8291047999999999,0.11326738636799998,0.300259900331845,0.49934650413379206,0.2003935955343626,0.02771434197586958,0.028137575672789017,-0.0004232336969194374,0.9849584163951718
m_1_2_5,2.4387048,0.11326738636800013,0.27341585873350627,0.5262032736886578,0.20038086757783594,0.012535433711818145,0.01289630888519111,-0.0003608751733729654,0.9720171735505374
m_1_2_6,2.8959048000000003,0.05663369318399993,0.2539830042185882,0.5457050059577908,0.20031198982362106,0.0015956612197923215,0.002026134716641148,-0.00043047349684882663,0.7875395484252647
m_1_3_1,0.1527048,0.11326738636799996,0.7983100045688312,0.001204377412641397,0.20048561801852746,0.9945279667291914,0.9950316378646319,-0.0005036711354404755,0.99949381394895
m_1_3_2,0.6099048,0.22653477273599995,0.5313158664625816,0.2682679645059038,0.20041616903151457,0.3122325038482461,0.312973389201791,-0.00074088535354494,0.9976327528821716
m_1_3_3,1.2195047999999997,0.2265347727359999,0.35606155114355265,0.4435328795495243,0.2004055693069231,0.07353509240370085,0.07391585605470832,-0.00038076365100747633,0.9948486878008197
m_1_3_4,1.8291047999999999,0.22653477273599987,0.3006698727453574,0.4989365111652099,0.20039361608943237,0.028051006959237845,0.028473914682449253,-0.00042290772321140757,0.9851475384425423
m_1_3_5,2.4387048,0.22653477273600015,0.27352708887452737,0.5260919819256412,0.2003809291998316,0.012598062114840769,0.012958750446046607,-0.00036068833120583843,0.9721664266390843
m_1_3_6,2.8959048000000003,0.11326738636799985,0.25398375128024125,0.5457039339319284,0.20031231478783057,0.0015960639461832238,0.0020263417080713664,-0.0004302777618881426,0.7876578465644509
m_1_4_1,0.1527048,0.05663369318400004,0.7983025523640828,0.0012122283302454606,0.20048521930567173,0.994505602987905,0.9950092271261329,-0.0005036241382279094,0.999493849780989
m_1_4_2,0.6099048,0.11326738636800009,0.5290964604321969,0.2704872444806789,0.20041629508712402,0.30779485216731045,0.3085383474883402,-0.0007434953210297413,0.9975902660817296
m_1_4_3,1.2195047999999997,0.11326738636800007,0.3555372786699189,0.4440569507581829,0.20040577057189823,0.07310459466519251,0.07348570734139065,-0.00038111267619814204,0.994813785020431
m_1_4_4,1.8291047999999999,0.11326738636800004,0.30025990033193894,0.4993465041337008,0.20039359553436037,0.0277143419759468,0.028137575672866177,-0.0004232336969193784,0.9849584163952151
m_1_4_5,2.4387048,0.11326738636800018,0.2734158587335596,0.5262032736886028,0.20038086757783752,0.012535433711848065,0.012896308885220253,-0.0003608751733721882,0.9720171735506609
m_1_4_6,2.8959048000000003,0.056633693183999974,0.25398300421859676,0.5457050059577847,0.2003119898236188,0.001595661219797262,0.00202613471664731,-0.0004304734968500479,0.787539548425308
m_1_5_1,0.1527048,0.028316846591999956,0.7986649811881072,0.0008499063390222627,0.20048511247287076,0.9955932452922039,0.9960951387086712,-0.0005018934164672251,0.9994961390765165
m_1_5_2,0.6099048,0.05663369318399991,0.5297078081778098,0.26987569708346126,0.20041649473872894,0.30901721110655944,0.30976019771405533,-0.000742986607495888,0.9976014135677246
m_1_5_3,1.2195047999999997,0.056633693183999904,0.35545916306236663,0.44413491579613157,0.20040592114150171,0.07304044321919836,0.07342159971532511,-0.0003811564961267444,0.994808659882043
m_1_5_4,1.8291047999999999,0.0566336931839999,0.30015590221903077,0.49945043510126996,0.20039366267969966,0.02762893511571235,0.028052242355608437,-0.0004233072398960869,0.9849100391145218
