solubility [g/L],temperature [C] = 26,temperature [C] = 36,temperature [C] = 46,temperature [C] = 56,temperature [C] = 66,temperature [C] = 76,temperature [C] = 86,temperature [C] = 96
pressure [Pa] = 52500000,0,0,0,0,0,0,0,0
pressure [Pa] = 53000000,0,0,0,0,0,0,0,0
pressure [Pa] = 53500000,0,0,0,0,0,0,0,0
pressure [Pa] = 54000000,0,0,0,0,0,0,0,0
pressure [Pa] = 54500000,0,0,0,0,0,0,0,0
pressure [Pa] = 55000000,0,0,0,0,0,0,0,0
pressure [Pa] = 55500000,0,0,0,0,0,0,0,0
pressure [Pa] = 56000000,0,0,0,0,0,0,0,0
pressure [Pa] = 56500000,0,0,0,0,0,0,0,0
pressure [Pa] = 57000000,0,0,0,0,0,0,0,0
pressure [Pa] = 57500000,0,0,0,0,0,0,0,0
pressure [Pa] = 58000000,0,0,0,0,0,0,0,0
pressure [Pa] = 58500000,0,0,0,0,0,0,0,0
pressure [Pa] = 59000000,0,0,0,0,0,0,0,0
pressure [Pa] = 59500000,0,0,0,0,0,0,0,0
pressure [Pa] = 60000000,0,0,0,0,0,0,0,0
pressure [Pa] = 60500000,0,0,0,0,0,0,0,0
pressure [Pa] = 61000000,0,0,0,0,0,0,0,0
pressure [Pa] = 61500000,0,0,0,0,0,0,0,0
pressure [Pa] = 62000000,0,0,0,0,0,0,0,0
pressure [Pa] = 62500000,0,0,0,0,0,0,0,0
pressure [Pa] = 63000000,0,0,0,0,0,0,0,0
pressure [Pa] = 63500000,0,0,0,0,0,0,0,0
pressure [Pa] = 64000000,0,0,0,0,0,0,0,0
pressure [Pa] = 64500000,0,0,0,0,0,0,0,0
pressure [Pa] = 65000000,0,0,0,0,0,0,0,0
pressure [Pa] = 65500000,0,0,0,0,0,0,0,0
pressure [Pa] = 66000000,0,0,0,0,0,0,0,0
pressure [Pa] = 66500000,0,0,0,0,0,0,0,0
pressure [Pa] = 67000000,0,0,0,0,0,0,0,0
pressure [Pa] = 67500000,0,0,0,0,0,0,0,0
pressure [Pa] = 68000000,0,0,0,0,0,0,0,0
pressure [Pa] = 68500000,0,0,0,0,0,0,0,0
pressure [Pa] = 69000000,0,0,0,0,0,0,0,0
pressure [Pa] = 69500000,0,0,0,0,0,0,0,0
pressure [Pa] = 70000000,0,0,0,0,0,0,0,0
pressure [Pa] = 70500000,0,0,0,0,0,0,0,0
pressure [Pa] = 71000000,0,0,0,0,0,0,0,0
pressure [Pa] = 71500000,0,0,0,0,0,0,0,0
pressure [Pa] = 72000000,0,0,0,0,0,0,0,0
pressure [Pa] = 72500000,0,0,0,0,0,0,0,0
pressure [Pa] = 73000000,0,0,0,0,0,0,0,0
pressure [Pa] = 73500000,0,0,0,0,0,0,0,0
pressure [Pa] = 74000000,0,0,0,0,0,0,0,0
pressure [Pa] = 74500000,0,0,0,0,0,0,0,0
pressure [Pa] = 75000000,0,0,0,0,0,0,0,0
