density [kg/m3],temperature [C] = 26,temperature [C] = 36,temperature [C] = 46,temperature [C] = 56,temperature [C] = 66,temperature [C] = 76,temperature [C] = 86,temperature [C] = 96
pressure [Pa] = 19000000,1025.634804710538,1025.8655985049259,1026.0964442337602,1026.3273419087272,1026.5582915415162,1026.7892931438184,1027.0203467273295,1027.2514523037453
pressure [Pa] = 19500000,1027.4826098847664,1027.7138194820948,990.1648420422838,990.3876541971707,990.6105164904329,990.8334289333526,991.056391537215,991.2794043133074
pressure [Pa] = 20000000,991.5024672729197,991.7255804273447,991.9487437878774,992.1719573658156,992.3952211724592,992.6185352191111,992.8418995170766,993.0653140776636
pressure [Pa] = 20500000,993.2887789121824,993.5122940319454,993.7358594482688,993.9594751724702,994.1831412158705,994.4068575897921,994.6306243055615,994.8544413745061
pressure [Pa] = 21000000,995.0783088079572,995.3022266172479,995.5261948137141,995.7502134086941,995.9742824135287,996.1984018395617,996.4225716981389,996.6467920006091
pressure [Pa] = 21500000,996.8710627583233,997.0953839826354,997.3197556849015,997.5441778764804,997.7686505687334,997.9931737730248,998.2177475007204,998.4423717631901
pressure [Pa] = 22000000,998.6670465718049,998.8917719379391,999.1165478729697,999.3413743882754,999.5662514952387,999.7911792052436,1000.0161575296772,1000.2411864799288
pressure [Pa] = 22500000,1000.466266067391,1000.6913963034579,1000.9165771995271,1001.141808766998,1001.3670910172733,1001.5924239617577,1001.8178076118592,1002.043241978987
pressure [Pa] = 23000000,1002.2687270745542,1002.494262909976,1002.7198494966701,1002.9454868460567,1003.1711749695588,1003.3969138786019,1003.6227035846141,1003.8485440990256
pressure [Pa] = 23500000,1004.0744354332702,1004.300377598783,1004.5263706070027,1004.7524144693703,1004.9785091973289,1005.2046548023249,1005.4308512958065,1005.6570986892253
pressure [Pa] = 24000000,1005.8833969940351,1006.1097462216919,1006.336146383655,1006.5625974913855,1006.7890995563479,1007.0156525900085,1007.2422566038368,1007.4689116093045
pressure [Pa] = 24500000,1007.6956176178862,1007.9223746410587,1008.1491826903016,1008.3760417770972,1008.6029519129299,1008.8299131092874,1009.0569253776597,1009.2839887295387
pressure [Pa] = 25000000,1009.5111031764201,1009.738268729801,1009.9654854011823,1010.1927532020663,1010.4200721439588,1010.6474422383676,1010.8748634968034,1011.1023359307792
