1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
1.80E-05,0.00E+00,1.80E-05,1.80E-05
