# Purpose: trace the final Thomas Eq. (25) right-endpoint restart chain.
variant,segment,start_years,end_years,pc_sample_years,pressure_psig,surface_tension_dyn_per_cm,pc_scale,gas_density_start_kg_per_m3,gas_density_end_kg_per_m3,deck
right,0,0.0,0.1,0.1,5517.625,0.09613577586206896,1.068175287356322,237.7784377329396,237.00541597063173,decks/right/segment_000_0p0_to_0p1yr.xml
right,1,0.1,0.2,0.2,5490.25,0.10227155172413793,1.1363505747126437,237.00541597063173,236.23738082792448,decks/right/segment_001_0p1_to_0p2yr.xml
right,2,0.2,0.30000000000000004,0.30000000000000004,5462.875,0.10840732758620689,1.2045258620689654,236.23738082792448,235.47430736599082,decks/right/segment_002_0p2_to_0p3yr.xml
right,3,0.30000000000000004,0.4,0.4,5435.5,0.11454310344827587,1.2727011494252876,235.47430736599082,234.71614765926537,decks/right/segment_003_0p3_to_0p4yr.xml
right,4,0.4,0.5,0.5,5408.125,0.12067887931034482,1.3408764367816093,234.71614765926537,233.9628543974281,decks/right/segment_004_0p4_to_0p5yr.xml
right,5,0.5,0.6000000000000001,0.6000000000000001,5380.75,0.1268146551724138,1.4090517241379312,233.9628543974281,233.21438087556308,decks/right/segment_005_0p5_to_0p6yr.xml
right,6,0.6000000000000001,0.7000000000000001,0.7000000000000001,5353.375,0.13295043103448276,1.477227011494253,233.21438087556308,232.47068098450575,decks/right/segment_006_0p6_to_0p7yr.xml
right,7,0.7000000000000001,0.8,0.8,5326.0,0.1390862068965517,1.5454022988505747,232.47068098450575,231.73170920137395,decks/right/segment_007_0p7_to_0p8yr.xml
right,8,0.8,0.9,0.9,5298.625,0.1452219827586207,1.6135775862068966,231.73170920137395,230.99742058027928,decks/right/segment_008_0p8_to_0p9yr.xml
right,9,0.9,1.0,1.0,5271.25,0.15135775862068965,1.6817528735632183,230.99742058027928,230.26777074321427,decks/right/segment_009_0p9_to_1p0yr.xml
right,10,1.0,1.1,1.1,5243.875,0.1584765625,1.7608506944444444,230.26777074321427,229.50824689815735,decks/right/segment_010_1p0_to_1p1yr.xml
right,11,1.1,1.2000000000000002,1.2000000000000002,5216.5,0.16703125000000002,1.8559027777777781,229.50824689815735,228.70368748438713,decks/right/segment_011_1p1_to_1p2yr.xml
right,12,1.2000000000000002,1.3,1.3,5189.125,0.1755859375,1.9509548611111114,228.70368748438713,227.904749259127,decks/right/segment_012_1p2_to_1p3yr.xml
right,13,1.3,1.4000000000000001,1.4000000000000001,5161.75,0.184140625,2.0460069444444446,227.904749259127,227.11137351739674,decks/right/segment_013_1p3_to_1p4yr.xml
right,14,1.4000000000000001,1.5,1.5,5134.375,0.1926953125,2.1410590277777777,227.11137351739674,226.32350236882883,decks/right/segment_014_1p4_to_1p5yr.xml
right,15,1.5,1.6,1.6,5107.0,0.20125,2.236111111111111,226.32350236882883,225.54107872358773,decks/right/segment_015_1p5_to_1p6yr.xml
right,16,1.6,1.7000000000000002,1.7000000000000002,5079.625,0.2098046875,2.3311631944444446,225.54107872358773,224.7640462785797,decks/right/segment_016_1p6_to_1p7yr.xml
right,17,1.7000000000000002,1.8,1.8,5052.25,0.218359375,2.4262152777777777,224.7640462785797,223.9923495039472,decks/right/segment_017_1p7_to_1p8yr.xml
right,18,1.8,1.9000000000000001,1.9000000000000001,5024.875,0.2269140625,2.521267361111111,223.9923495039472,223.2259336298399,decks/right/segment_018_1p8_to_1p9yr.xml
right,19,1.9000000000000001,2.0,2.0,4997.5,0.23546875,2.6163194444444446,223.2259336298399,222.46474463345723,decks/right/segment_019_1p9_to_2p0yr.xml
right,20,2.0,2.1,2.1,4970.125,0.2440234375,2.7113715277777777,222.46474463345723,221.70872922635434,decks/right/segment_020_2p0_to_2p1yr.xml
right,21,2.1,2.2,2.2,4942.75,0.252578125,2.806423611111111,221.70872922635434,220.95783484200646,decks/right/segment_021_2p1_to_2p2yr.xml
right,22,2.2,2.3000000000000003,2.3000000000000003,4915.375,0.264486253196931,2.9387361466325665,220.95783484200646,220.19126410395992,decks/right/segment_022_2p2_to_2p3yr.xml
right,23,2.3000000000000003,2.4000000000000004,2.4000000000000004,4888.0,0.27771867007672635,3.085763000852515,220.19126410395992,219.3404269845133,decks/right/segment_023_2p3_to_2p4yr.xml
right,24,2.4000000000000004,2.5,2.5,4860.625,0.2909510869565217,3.232789855072464,219.3404269845133,218.49613996389235,decks/right/segment_024_2p4_to_2p5yr.xml
