tau,script_matrix,script_fracture,fim_matrix,fim_matrix_abs_error,fim_fracture,fim_fracture_abs_error,seq_matrix,seq_matrix_abs_error,seq_fracture,seq_fracture_abs_error
0.001,1.0126563369004509,1.0126563369004509,1.0070631033307045,0.005593233569746392,1.0082446114557855,0.004411725444665393,1.0037926725768462,0.008863664323604636,1.004970563167279,0.007685773733171919
0.01,1.0411906143218113,1.0411899567414493,1.044930210909534,0.0037395965877227155,1.045917726524955,0.004727769783505753,1.0471215928195687,0.0059309784977574775,1.0477387566304104,0.0065487998889610655
0.03,1.07068051305305,1.0659193112111351,1.0704705078859953,0.00021000516705460548,1.0576119992470863,0.00830731196404888,1.0685858700990083,0.0020946429540416034,1.0560534217840105,0.00986588942712463
0.1,1.0597917490220001,0.9054970514326097,1.0535164770144065,0.006275272007593591,0.8766122207369458,0.028884830695663943,1.0548841876094173,0.0049075614125828615,0.8904983059826926,0.014998745449917084
0.3,0.9667983070773282,0.4296885417698911,0.9653532399688997,0.0014450671084285105,0.4224633569588966,0.007225184810994489,0.9666600989795475,0.00013820809778064547,0.4222570847771276,0.0074314569927634855
1.0,0.8881992445088766,0.031301857756631954,0.8866856034789955,0.001513641029881052,0.026486740296924785,0.004815117459707169,0.8942036925998843,0.0060044480910077525,0.029577347887563592,0.0017245098690683615
3.0,0.8827153023736921,0.0001228900794471846,0.881970520737983,0.0007447816357091241,0.00018841492811669342,6.552484866950882e-05,0.8895860350049559,0.0068707326312638095,0.00010719261589433465,1.569746355284995e-05
10.0,0.8840505560520038,5.0416116310520886e-05,0.8832831751772625,0.0007673808747412636,4.9191843765303283e-05,1.2242725452176029e-06,0.890849123166261,0.006798567114257192,4.615144409639008e-05,4.264672214130807e-06
30.0,0.8862277159736858,2.5238772668664312e-05,0.8853710950140935,0.0008566209595922691,2.4632522507747848e-05,6.062501609164643e-07,0.8927904874478078,0.006562771474121987,2.3313243445200077e-05,1.9255292234642353e-06
100.0,0.8905068667152081,1.0003484777659322e-05,0.8897741895273082,0.0007326771878998217,9.73176920724038e-06,2.7171557041894146e-07,0.8977518831266652,0.007245016411457139,8.892856587643131e-06,1.110628190016191e-06
300.0,0.8974994728564378,2.216938994174329e-06,0.8967596497196796,0.0007398231367582442,2.182972925113741e-06,3.396606906058791e-08,0.9034116506226099,0.005912177766172033,2.1117151221233844e-06,1.0522387205094443e-07
1000.0,0.8953896698736169,-2.518721178887714e-06,0.8883086563217629,0.007081013551853976,-2.343434284042312e-06,1.7528689484540192e-07,0.8938978927564146,0.0014917771172022753,-2.317859987337711e-06,2.0086119155000305e-07
3000.0,0.6958695001535992,-3.104099861092626e-06,0.6882284978505305,0.007641002303068634,-2.8600317124587725e-06,2.440681486338534e-07,0.6927820940577398,0.0030874060958593352,-2.8133489588440956e-06,2.907509022485303e-07
