# Purpose: Compare matrix oil-component recovery with the digitized Thomas 1983 Fig. 4 curve.
variant,time_years,matrix_oil_component_amount,matrix_oil_recovery_pct,matrix_pressure_mean_pa,matrix_oil_saturation,matrix_gas_saturation,matrix_water_saturation,thomas_fig4_recovery_pct,difference_percentage_points
right,0.0,3004.6241723987064,0.0,38337566.06854167,0.8004730418440467,4.814140432904556e-07,0.19952647673122298,0.0,0.0
right,0.1,2822.8351216782444,6.050309133182963,38146982.19275065,0.7499156308059255,0.05052280521473362,0.19956156397934072,5.0,1.0503091331829628
right,0.2,2655.4470627628616,11.621323985990683,37958090.68515004,0.7034001191282315,0.09700353328496535,0.19959634758680295,10.0,1.6213239859906832
right,0.30000000000000004,2504.8709896844657,16.632801776179175,37769179.35349751,0.6615822166035094,0.13878664065174354,0.1996311427447472,15.000000000000004,1.6328017761791713
right,0.4,2369.201157235014,21.148169578107666,37580305.782984786,0.6239218819111664,0.17641217924091127,0.199665938847922,21.0,0.14816957810766596
right,0.5,2248.3287952755772,25.171047483098352,37391437.21427153,0.5903557869948859,0.2099434710738094,0.19970074193130488,27.0,-1.8289525169016478
right,0.6000000000000001,2143.5042702983073,28.65982075265453,37202570.001965195,0.5611771572801711,0.2390872900512484,0.19973555266858026,31.000000000000004,-2.3401792473454748
right,0.7000000000000001,2053.4040805341583,31.658538215951072,37013687.22269414,0.5360033660884197,0.26422625972941377,0.19977037418216648,34.0,-2.341461784048928
right,0.8,1976.2660206864002,34.22584964732306,36824795.23455195,0.5143418132561544,0.28585298143998006,0.19980520530386525,36.5,-2.2741503526769407
right,0.9,1910.3789666454986,36.4187047353623,36635902.29117313,0.4957185494930098,0.3044414059922209,0.1998400445147694,38.5,-2.0812952646377028
right,1.0,1853.9189547859896,38.29780869712117,36447007.22351513,0.47963565556131643,0.3204894524056111,0.19987489203307263,40.0,-1.7021913028788305
right,1.1,1805.540823706034,39.90793123838174,36258090.57850041,0.4657326752202731,0.33435757332838756,0.1999097514513393,41.0,-1.0920687616182576
right,1.2000000000000002,1764.5417867990848,41.272462525974305,36069156.20892631,0.45381412881594285,0.34624124912056375,0.19994462206349323,42.0,-0.727537474025695
right,1.3,1729.993011033886,42.42231601123123,35880224.20297154,0.4436117482571329,0.35640875157753354,0.19997950016533375,42.75,-0.3276839887687686
right,1.4000000000000001,1701.135919919633,43.38273866173582,35691291.46939963,0.4349168610328541,0.36506875263749383,0.2000143863296521,43.5,-0.1172613382641785
right,1.5,1677.2848680543566,44.17655015018681,35502354.03302286,0.4275416902249554,0.37240902848323876,0.200049281291806,44.15,0.026550150186814392
right,1.6,1657.7378174659752,44.82711572733772,35313403.791482516,0.4212963599204374,0.37861945352826576,0.20008418655129687,44.8,0.027115727337722717
right,1.7000000000000002,1641.9571590078433,45.352328118394716,35124437.7570022,0.4160348206959683,0.3838460766398772,0.20011910266415434,45.25,0.10232811839471623
right,1.8,1629.4511529565607,45.76855342091895,34935475.8519422,0.41162435285852694,0.38822162118912334,0.20015402595234968,45.7,0.06855342091894556
right,1.9000000000000001,1619.7691187687913,46.09079119949742,34746517.78610775,0.4079439668249707,0.3918670767036525,0.20018895647137697,45.85,0.24079119949741568
right,2.0,1612.5315385539989,46.33167258097863,34557563.54002178,0.4048919149075558,0.3948841908657107,0.20022389422673348,46.0,0.3316725809786334
right,2.1,1607.4602410220896,46.500455671339665,34368612.93694427,0.402392973649936,0.39734818709703973,0.2002588392530243,46.0,0.5004556713396653
right,2.2,1604.3223551963931,46.60489089004428,34179665.897641286,0.4003840726338205,0.3993221357993246,0.20029379156685492,46.0,0.6048908900442811
right,2.3000000000000003,1603.6674244172636,46.62668831766089,33990673.184449546,0.39910656010923784,0.40056467960977543,0.2003287602809869,46.0,0.6266883176608928
right,2.4000000000000004,1603.6726414949635,46.62651468271021,33801652.6039392,0.39803720941203646,0.4015990484796392,0.20036374210832428,46.0,0.6265146827102086
right,2.5,1603.672641494961,46.62651468271029,33612628.1619177,0.39696629729229954,0.40263497009696175,0.2003987326107389,46.0,0.6265146827102868
