tau,manual_matrix,manual_fracture,fim_scale_0_911_matrix,fim_scale_0_911_matrix_abs_error,fim_scale_0_911_fracture,fim_scale_0_911_fracture_abs_error,seq_fixed_scale_0_911_matrix,seq_fixed_scale_0_911_matrix_abs_error,seq_fixed_scale_0_911_fracture,seq_fixed_scale_0_911_fracture_abs_error
0.001,1.0122260300371684,1.0122260300371684,1.0051332367094858,0.007092793327682534,1.005255969270516,0.006970060766652297,1.0029653628595956,0.00926066717757279,1.00303352126181,0.009192508775358377
0.01,1.0402295483515838,1.0402295483515838,1.03022101973047,0.010008528621113788,1.030723002207833,0.009506546143750683,1.0318721794743078,0.008357368877276006,1.0320108093780451,0.008218738973538642
0.03,1.0620625913246775,1.0588146794829907,1.0465593587937156,0.015503232530961863,1.033815358954175,0.024999320528815705,1.0455898608613572,0.016472730463320318,1.0330537863877085,0.025760893095282178
0.1,1.0397090147498769,0.8217872074510963,1.0266807540165555,0.013028260733321417,0.8464303499876813,0.02464314253658495,1.0286483581903003,0.011060656559576554,0.860934297962567,0.039147090511470695
0.3,0.958344715457991,0.3169018326864517,0.9494211211569255,0.008923594301065596,0.3956508248381904,0.0787489921517387,0.9507058068509429,0.007638908607048189,0.3951806209152915,0.07827878822883977
1.0,0.9094049109914841,0.015471641539365123,0.8863925792663178,0.02301233172516637,0.022826172545182686,0.007354531005817563,0.8925609576549761,0.01684395333650801,0.02550886981994825,0.010037228280583128
3.0,0.9063483774372089,-0.00376344,0.883150948691131,0.023197428746077886,0.000145860971474431,0.0039093009714744305,0.8895095576452321,0.016838819791976767,7.74056604602826e-05,0.0038408456604602822
10.0,0.9108902697953631,-0.002906214351761745,0.8840938993956441,0.02679637039971905,3.332481581937069e-05,0.0029395391675811158,0.8904325579865779,0.020457711808785195,3.1436794443151525e-05,0.0029376511462048966
30.0,0.9139956133117386,-0.00268817,0.8855873554542447,0.0284082578574939,1.62307642336278e-05,0.002704400764233628,0.8918302825458296,0.022165330765908986,1.535353586857774e-05,0.002703523535868578
100.0,0.923196341199642,-0.00268817,0.8887217734067759,0.03447456779286606,5.85573423865557e-06,0.0026940257342386556,0.895371355365113,0.02782498583452897,5.06968182037142e-06,0.0026932396818203715
300.0,0.9207625345097522,-0.00268817,0.8936126249705286,0.027149909539223582,6.080092733597318e-07,0.00268877800927336,0.8992779844599466,0.02148455004980565,3.493626040965033e-07,0.002688519362604097
1000.0,0.7611102419545486,-0.00215054,0.8763151038646545,0.11520486191010593,-2.5362562690138916e-06,0.002148003743730986,0.8616228559596044,0.10051261400505584,-2.7834485057544505e-06,0.0021477565514942455
3000.0,0.3262322357524663,-0.0026657168379901346,0.6524596843040849,0.32622744855161856,-2.5420715212157923e-06,0.0026631747664689186,0.6454076824996925,0.3191754467472262,-2.634193481541276e-06,0.0026630826445085934
