case,medium,output_dir,n_samples,n_error_samples,reference,peak_tau,peak_p_over_p0,final_tau,final_p_over_p0,mean_abs_error_vs_manual_csv,max_abs_error_vs_manual_csv
FIM scale 1.0,matrix,/tmp/dpdp_mandel_final_check_after_seq_strategy_20260715/fim1000,296,296,manual_fig5c_csv,0.03233247731232264,1.0500022964425415,26626.74602191274,0.012658399589603322,0.09002237894452292,0.30558040698735267
FIM scale 1.0,fracture,/tmp/dpdp_mandel_final_check_after_seq_strategy_20260715/fim1000,296,296,manual_fig5c_csv,0.019019104301366243,1.0396571815468316,26626.74602191274,-1.1769576674055938e-07,0.015232938104809973,0.07277116786545801
Seq before fix,matrix,/tmp/dpdp_mandel_final_check_after_seq_strategy_20260715/seq,421,421,manual_fig5c_csv,0.09034074543148965,1.044448629047736,28528.656452049363,0.034505690745047654,0.056552014745334896,0.4484091990227631
Seq before fix,fracture,/tmp/dpdp_mandel_final_check_after_seq_strategy_20260715/seq,421,421,manual_fig5c_csv,0.03803820860273248,1.0273430615927572,28528.656452049363,-2.2662376982378778e-07,0.06834823702679299,0.3400861765229096
Seq fixed scale 1.0,matrix,/tmp/dpdp_program_consistency_20260715/seq_totalstress_fix_final,421,421,manual_fig5c_csv,0.03803820860273248,1.049116179520462,28528.656452049363,0.009790633820336094,0.07050291130823058,0.29836701279025013
Seq fixed scale 1.0,fracture,/tmp/dpdp_program_consistency_20260715/seq_totalstress_fix_final,421,421,manual_fig5c_csv,0.019019104301366243,1.0390520842999273,28528.656452049363,-8.025300003631881e-08,0.014706433585385389,0.07484326664106267
