tau,manual_matrix,manual_fracture,fim_scale_1_0_matrix,fim_scale_1_0_matrix_abs_error,fim_scale_1_0_fracture,fim_scale_1_0_fracture_abs_error,seq_before_fix_matrix,seq_before_fix_matrix_abs_error,seq_before_fix_fracture,seq_before_fix_fracture_abs_error,seq_fixed_scale_1_0_matrix,seq_fixed_scale_1_0_matrix_abs_error,seq_fixed_scale_1_0_fracture,seq_fixed_scale_1_0_fracture_abs_error
0.001,1.0122260300371684,1.0122260300371684,1.0055801176519072,0.006645912385261132,1.0055862292769084,0.00663980076025994,1.0019137103036093,0.010312319733559061,1.0016344030106044,0.010591627026564021,1.0032300217996988,0.0089960082374696,1.0032335877133522,0.00899244232381613
0.01,1.0402295483515838,1.0402295483515838,1.032823044486391,0.007406503865192704,1.0326237996045173,0.007605748747066432,1.0209493303664456,0.019280217985138126,1.0178177839201452,0.022411764431438552,1.0344526834664334,0.00577686488515039,1.0338831738257102,0.00634637452587361
0.03,1.0620625913246775,1.0588146794829907,1.0492162235948328,0.01284636772984471,1.035301972318773,0.023512707164217606,1.0324406463591929,0.029621944965484648,1.0262428553961154,0.03257182408687531,1.048086206578538,0.013976384746139603,1.0344589962842299,0.024355683198760802
0.1,1.0397090147498769,0.8217872074510963,1.0149881313543772,0.024720883395499715,0.8407747360804452,0.018987528629348827,1.0440999222252985,0.00439090747542159,0.9840939772731518,0.1623067698220555,1.018382420941971,0.021326593807905914,0.8559426814623108,0.03415547401121444
0.3,0.958344715457991,0.3169018326864517,0.907963536216276,0.050381179241715035,0.3867250615616757,0.06982322887522396,1.000300082885457,0.04195536742746586,0.6564548604776441,0.3395530277911924,0.9104925112076221,0.04785220425036896,0.3870264994224539,0.07012466673600215
1.0,0.9094049109914841,0.015471641539365123,0.8238439452101387,0.08556096578134542,0.021514164498786147,0.006042522959421023,0.8995303013973149,0.009874609594169192,0.1198668593605124,0.10439521782114727,0.8324204006004491,0.07698451039103504,0.02443949318808311,0.008967851648717988
3.0,0.9063483774372089,-0.00376344,0.8196072402664606,0.08674113717074827,0.0001386718704646203,0.0039021118704646203,0.8728341239140236,0.03351425352318527,0.001061284742903736,0.004824724742903736,0.8283224928909344,0.07802588454627446,7.666283812713428e-05,0.0038401028381271343
10.0,0.9108902697953631,-0.002906214351761745,0.8205463429494126,0.0903439268459505,3.36056952758796e-05,0.0029398200470376248,0.8733659484107664,0.037524321384596715,3.340409239562002e-05,0.002939618444157365,0.8292257726496755,0.08166449714568769,3.127535210222842e-05,0.0029374897038639733
30.0,0.9139956133117386,-0.00268817,0.8220405317792974,0.09195508153244125,1.5966338038691036e-05,0.002704136338038691,0.8744273206289135,0.039568292682825135,1.6945023001537223e-05,0.0027051150230015374,0.8306078791304567,0.08338773418128187,1.4856123979416485e-05,0.0027030261239794164
100.0,0.923196341199642,-0.00268817,0.8251817934196454,0.09801454777999663,5.256004786337969e-06,0.002693426004786338,0.8770300324724559,0.04616630872718608,5.98609925563328e-06,0.0026941560992556333,0.8341051643795397,0.08909117682010226,4.380578916444617e-06,0.002692550578916445
300.0,0.9207625345097522,-0.00268817,0.8301052523836255,0.09065728212612667,-1.6768387863386995e-07,0.002688002316121366,0.8801338526943269,0.04062868181542534,1.2660546431269744e-06,0.002689436054643127,0.8379595256487394,0.08280300886101277,-4.924758012473463e-07,0.002687677524198753
1000.0,0.7611102419545486,-0.00215054,0.8147930047272326,0.05368276277268402,-3.4020268157092996e-06,0.0021471379731842904,0.8706859851732676,0.10957574321871899,-1.963350444542079e-06,0.0021485766495554577,0.8034356993304532,0.04232545737590465,-3.690345970640048e-06,0.00214684965402936
3000.0,0.3262322357524663,-0.0026657168379901346,0.607832071870612,0.28159983611814565,-3.2175521771182026e-06,0.0026624992858130165,0.7363356255672252,0.4101033898147589,-2.5899148559226545e-06,0.002663126923134212,0.6027712425039781,0.2765390067515118,-3.3390674029055693e-06,0.002662377770587229
