tau,analytical_matrix,analytical_fracture,fim_matrix,fim_fracture,seq_matrix,seq_fracture
0.1,1.0597454606789118,0.9053107933744556,1.0535175724550958,0.8766110504491724,1.054885171679498,0.8904970856278673
0.3,0.966793155424075,0.4296627376728407,0.9653518568316327,0.42246180999047284,0.9666584164818637,0.4222553952146955
1.0,0.8881895223348626,0.03125295490806965,0.8866827872184929,0.02648663011166128,0.8942005132101529,0.02957701166850265
3.0,0.8827158832800791,0.0001245840496685187,0.881967640826071,0.00018842654465484325,0.8895826373065918,0.00010698998311780807
10.0,0.8840497494454514,5.039773255045201e-05,0.8832803413975899,4.9203957764132126e-05,0.8908452712135451,4.5909790756540573e-05
30.0,0.8862290208315671,2.5247402326270115e-05,0.8853683508303959,2.4644583859167583e-05,0.8927850684538877,2.3069415355407317e-05
100.0,0.8905075263672627,1.0004826846565706e-05,0.8897717037831333,9.743835109529717e-06,0.8977379288035784,8.633451005401628e-06
300.0,0.8975033055784893,2.2195293382041625e-06,0.896759029776584,2.1951011636649027e-06,0.9033498112842042,1.8506426969851266e-06
1000.0,0.8951710521788289,-2.5147435742243783e-06,0.883532812065399,-2.3786675347868796e-06,0.8699735538479667,-2.7356511825822306e-06
3000.0,0.6957214817888606,-3.102795208134367e-06,0.6642772968064872,-2.7671611005409837e-06,0.6573660547341799,-2.8898308666005834e-06
10000.0,0.2222975393400034,-1.0110577443469544e-06,0.1933526396729122,-8.03875764638753e-07,0.17107021202002531,-6.743470357957588e-07
