tau,analytical_matrix,analytical_fracture,fim_matrix,fim_fracture,seq_matrix,seq_fracture
0.001,1.0126548293517672,1.0126548293517672,1.0070633493386891,1.0082447075877967,1.003792811924098,1.0049706143531993
0.01,1.041186525593692,1.041185931783073,1.0449316470379368,1.0459182773396103,1.0471230135436347,1.0477392409258683
0.03,1.0706703225853729,1.0658709291956452,1.0704726418979726,1.0576124846069792,1.0685878431476037,1.0560538009394578
0.1,1.0598039750944883,0.9055483657180244,1.0535175724550958,0.8766110504491724,1.054885171679498,0.8904970856278673
0.3,0.9668028946213046,0.4297114992069686,0.9653518568316327,0.42246180999047284,0.9666584164818637,0.4222553952146955
1.0,0.8882034169689648,0.0313228531733147,0.8866827872184929,0.02648663011166128,0.8942005132101529,0.02957701166850265
3.0,0.8827152542699211,0.00012251260938911813,0.881967640826071,0.00018842654465484325,0.8895826373065918,0.00010698998311780807
10.0,0.884050792840293,5.042163619560499e-05,0.8832803413975899,4.9203957764132126e-05,0.8908452712135451,4.5909790756540573e-05
30.0,0.886227670121675,2.5238120854936513e-05,0.8853683508303959,2.4644583859167583e-05,0.8927850684538877,2.3069415355407317e-05
100.0,0.8905084787729424,1.000654795616307e-05,0.8897717037831333,9.743835109529717e-06,0.8977379288035784,8.633451005401628e-06
300.0,0.8974990151725625,2.2166351575633866e-06,0.896759029776584,2.1951011636649027e-06,0.9033498112842042,1.8506426969851266e-06
1000.0,0.8952032646327943,-2.515388604134062e-06,0.8884072570223503,-2.3323408675087193e-06,0.8916464796757195,-2.5498617228524165e-06
3000.0,0.6958939127374417,-3.1043734104599857e-06,0.6887320469676356,-2.8554431656555645e-06,0.6819157558626885,-2.90707704261517e-06
10000.0,0.22220061792131043,-1.0106170121867627e-06,0.21863493599862235,-8.797946972431628e-07,0.21129699585305667,-7.166004106253268e-07
30000.0,0.008347609263379472,-3.7966794447311004e-08,nan,nan,nan,nan
