tau,script_matrix,script_fracture,fim_effective_matrix,fim_effective_matrix_abs_error,fim_effective_fracture,fim_effective_fracture_abs_error,fim_intrinsic_matrix,fim_intrinsic_matrix_abs_error,fim_intrinsic_fracture,fim_intrinsic_fracture_abs_error,seq_effective_matrix,seq_effective_matrix_abs_error,seq_effective_fracture,seq_effective_fracture_abs_error,seq_intrinsic_matrix,seq_intrinsic_matrix_abs_error,seq_intrinsic_fracture,seq_intrinsic_fracture_abs_error
0.001,1.0126563369004509,1.0126563369004509,1.0070631033307045,0.005593233569746392,1.0082446114557855,0.004411725444665393,1.0067894147785368,0.005866922121914087,1.0079708862201795,0.004685450680271375,1.0037926725768462,0.008863664323604636,1.004970563167279,0.007685773733171919,1.003524813805847,0.009131523094603855,1.0047025490227925,0.007953787877658325
0.01,1.0411906143218113,1.0411899567414493,1.044930210909534,0.0037395965877227155,1.045917726524955,0.004727769783505753,1.0446504354646022,0.0034598211427909753,1.0456399965799676,0.004450039838518327,1.0471215928195687,0.0059309784977574775,1.0477387566304104,0.0065487998889610655,1.0468483142395193,0.005657699917708037,1.0474684030510903,0.006278446309641028
0.03,1.07068051305305,1.0659193112111351,1.0704705078859953,0.00021000516705460548,1.0576119992470863,0.00830731196404888,1.0702019185176876,0.0004785945353622534,1.057375011607432,0.008544299603703065,1.0685858700990083,0.0020946429540416034,1.0560534217840105,0.00986588942712463,1.068323596255126,0.002356916797923825,1.0558220133011877,0.0100972979099474
0.1,1.0597917490220001,0.9054970514326097,1.0535164770144065,0.006275272007593591,0.8766122207369458,0.028884830695663943,1.0533435787830272,0.006448170238972928,0.8766343207616707,0.02886273067093903,1.0548841876094173,0.0049075614125828615,0.8904983059826926,0.014998745449917084,1.0547104099796143,0.005081339042385835,0.890513274582722,0.01498377684988772
0.3,0.9667983070773282,0.4296885417698911,0.9653532399688997,0.0014450671084285105,0.4224633569588966,0.007225184810994489,0.9652719130017982,0.0015263940755300132,0.4226881704317793,0.007000371338111766,0.9666600989795475,0.00013820809778064547,0.4222570847771276,0.0074314569927634855,0.96657871205104,0.0002195950262882107,0.42248293791109387,0.007205603858797205
1.0,0.8881992445088766,0.031301857756631954,0.8866856034789955,0.001513641029881052,0.026486740296924785,0.004815117459707169,0.8865624762046784,0.0016367683041981218,0.02653144403181295,0.0047704137248190046,0.8942036925998843,0.0060044480910077525,0.029577347887563592,0.0017245098690683615,0.894088319573422,0.0058890750645455014,0.029629042065416535,0.0016728156912154193
3.0,0.8827153023736921,0.0001228900794471846,0.881970520737983,0.0007447816357091241,0.00018841492811669342,6.552484866950882e-05,0.881833493073287,0.0008818093004051564,0.00018874661909126832,6.585653964408372e-05,0.8895860350049559,0.0068707326312638095,0.00010719261589433465,1.569746355284995e-05,0.8894580335866064,0.006742731212914244,0.00010733294773315253,1.555713171403207e-05
10.0,0.8840505560520038,5.0416116310520886e-05,0.8832831751772625,0.0007673808747412636,4.9191843765303283e-05,1.2242725452176029e-06,0.8831459184036586,0.0009046376483451413,4.922289177700658e-05,1.1932245335143064e-06,0.890849123166261,0.006798567114257192,4.615144409639008e-05,4.264672214130807e-06,0.8907209977768307,0.006670441724826892,4.6182326735126584e-05,4.233789575394302e-06
30.0,0.8862277159736858,2.5238772668664312e-05,0.8853710950140935,0.0008566209595922691,2.4632522507747848e-05,6.062501609164643e-07,0.8852336249702527,0.000994091003433062,2.4651488121450613e-05,5.87284547213699e-07,0.8927904874478078,0.006562771474121987,2.3313243445200077e-05,1.9255292234642353e-06,0.8926621894673374,0.006434473493651671,2.33322480874015e-05,1.9065245812628127e-06
100.0,0.8905068667152081,1.0003484777659322e-05,0.8897741895273082,0.0007326771878998217,9.73176920724038e-06,2.7171557041894146e-07,0.8896362658000988,0.0008706009151092653,9.743450060139823e-06,2.600347175194994e-07,0.8977518831266652,0.007245016411457139,8.892856587643131e-06,1.110628190016191e-06,0.8976230483457134,0.007116181630505314,8.9041578677879e-06,1.0993269098714223e-06
300.0,0.8974994728564378,2.216938994174329e-06,0.8967596497196796,0.0007398231367582442,2.182972925113741e-06,3.396606906058791e-08,0.8966207715683854,0.0008787012880524525,2.191057946753977e-06,2.5881047420351962e-08,0.9034116506226099,0.005912177766172033,2.1117151221233844e-06,1.0522387205094443e-07,0.9032817915762332,0.0057823187197953985,2.119727411855526e-06,9.721158231880285e-08
1000.0,0.8953896698736169,-2.518721178887714e-06,0.8883086563217629,0.007081013551853976,-2.343434284042312e-06,1.7528689484540192e-07,0.8881545683582736,0.007235101515343345,-2.3374384907980168e-06,1.8128268808969714e-07,0.8938978927564146,0.0014917771172022753,-2.317859987337711e-06,2.0086119155000305e-07,0.8937520341605066,0.0016376357131102637,-2.3120739374125653e-06,2.0664724147514865e-07
3000.0,0.6958695001535992,-3.104099861092626e-06,0.6882284978505305,0.007641002303068634,-2.8600317124587725e-06,2.440681486338534e-07,0.6880369480246662,0.007832552128932968,-2.8551798586597148e-06,2.489200024329111e-07,0.6927820940577398,0.0030874060958593352,-2.8133489588440956e-06,2.907509022485303e-07,0.6925948747742773,0.0032746253793218827,-2.808688604552823e-06,2.95411256539803e-07
