case,medium,output_dir,n_samples,n_error_samples,reference,peak_tau,peak_p_over_p0,final_tau,final_p_over_p0,mean_abs_error,max_abs_error
FIM,matrix,/tmp/dpdp_four_input_modes_20260717_162548/fim_eff,1246,1246,analytical_script,0.038038208602732486,1.0747235289440484,29308.43972840538,0.010507216142261345,0.002742690753260894,0.008850824021738535
FIM,fracture,/tmp/dpdp_four_input_modes_20260717_162548/fim_eff,1246,1246,analytical_script,0.026626746021912732,1.0596882448208502,29308.43972840538,-9.909491170638251e-08,0.0005815167015214644,0.032481944203006874
Seq,matrix,/tmp/dpdp_four_input_modes_20260717_162548/seq_eff,1372,1372,analytical_script,0.0475477607534156,1.0734298679927212,29308.43972840538,0.010922115223270627,0.0024655820895293,0.010450888117451873
Seq,fracture,/tmp/dpdp_four_input_modes_20260717_162548/seq_eff,1372,1372,analytical_script,0.023773880376707805,1.0581024465858848,29308.43972840538,2.8885322708887333e-09,0.0008767194109566621,0.01917215037060549
