time_s,tau,old_uz_m,same_source_uz_m,ratio
0.0,0.0,1.796142e-05,2.500369e-05,1.3920775751583117
1e-12,9.509552150683122e-14,1.796142e-05,2.500369e-05,1.3920775751583117
0.108,0.01027031632273777,1.871362e-05,2.604763e-05,1.3919076052629047
0.1255188,0.011936275744911648,1.877441e-05,2.613224e-05,1.3919073888340567
0.1458794,0.013872477620103633,1.884029e-05,2.622394e-05,1.391907449407626
0.1695427,0.01612275147417623,1.891172e-05,2.632336e-05,1.3919072405894335
0.1970444,0.018738039978000654,1.89892e-05,2.643119e-05,1.3919064520885556
0.2290073,0.021777568622371346,1.907327e-05,2.654823e-05,1.3919076277953386
0.2661548,0.025310129507546363,1.916457e-05,2.66753e-05,1.391907045135894
0.3093282,0.029415726495769387,1.926375e-05,2.681335e-05,1.3919070793588995
0.3595047,0.0341872869306569,1.937158e-05,2.696343e-05,1.3919065971903168
0.4178204,0.03973284883419282,1.948887e-05,2.71267e-05,1.3919072783593918
0.4855956,0.04617796682342261,1.961656e-05,2.730443e-05,1.3919071437601702
0.5643647,0.05366855546654635,1.975567e-05,2.749805e-05,1.391906728549323
0.6559111,0.06237420811661932,1.990732e-05,2.770914e-05,1.3919070974897676
0.7623073,0.07249201024196443,2.007274e-05,2.793938e-05,1.391906635566445
0.8859622,0.0842510374443395,2.025315e-05,2.81905e-05,1.3919069379331115
1.029675,0.09791748110754642,2.044971e-05,2.846409e-05,1.3919067800961482
1.1967,0.11380081058722492,2.066328e-05,2.876137e-05,1.3919072867424727
1.390819,0.13226065812660948,2.089425e-05,2.908285e-05,1.3919068643287027
1.616425,0.15371477835167965,2.11422e-05,2.942797e-05,1.391906707911192
1.878628,0.1786491093773353,2.140571e-05,2.979476e-05,1.3919071126348996
2.183362,0.20762794802819798,2.168219e-05,3.017959e-05,1.3919069060828266
2.537528,0.2413075484981864,2.196772e-05,3.057702e-05,1.3919068524180023
2.949144,0.2804503866787422,2.225713e-05,3.097986e-05,1.391907222539474
3.427529,0.32594265773478764,2.25441e-05,3.137929e-05,1.3919069734431624
3.983513,0.3788142461642417,2.282144e-05,3.176533e-05,1.3919073467756635
4.629684,0.4402622143918324,2.308165e-05,3.212752e-05,1.3919074242959235
5.380671,0.511677714801683,2.331752e-05,3.245582e-05,1.3919070295640361
6.253476,0.5946775614504528,2.352297e-05,3.274179e-05,1.391907144378452
7.267861,0.6911410320341598,2.369387e-05,3.297966e-05,1.3919068518566196
8.44679,0.8032519001086869,2.382869e-05,3.316732e-05,1.3919069827170523
9.816955,0.9335484553340943,2.392879e-05,3.330665e-05,1.3919069873570709
11.40938,1.0849809411696099,2.39982e-05,3.340327e-05,1.391907309714895
13.26011,1.2609770756879475,2.404285e-05,3.346541e-05,1.3919069494673053
15.41105,1.465521836717851,2.406945e-05,3.350244e-05,1.3919071686307747
17.91089,1.703245425201488,2.408433e-05,3.352316e-05,1.3919075182909386
20.81624,1.9795311986113602,2.409256e-05,3.35346e-05,1.3919068791361318
24.19287,2.3006335893969716,2.409758e-05,3.354159e-05,1.3919069881705963
28.11723,2.6738226501775197,2.410137e-05,3.354687e-05,1.3919071820398592
32.67816,3.107546667083671,2.410489e-05,3.355177e-05,1.3919072022315804
37.97893,3.611626154621437,2.410852e-05,3.355682e-05,1.3919070934258926
44.13954,4.197472575371636,2.411239e-05,3.35622e-05,1.3919068163711688
51.29948,4.8783508036292575,2.411654e-05,3.356798e-05,1.3919069650953246
59.62083,5.669673921520127,2.412101e-05,3.35742e-05,1.3919068894710462
69.29201,6.589359827206564,2.412582e-05,3.35809e-05,1.3919070937277989
80.53196,7.65822873416727,2.4131e-05,3.35881e-05,1.39190667605984
93.59515,8.900479599760093,2.413657e-05,3.359587e-05,1.391907383692049
108.7773,10.344234071605031,2.414258e-05,3.360423e-05,1.3919071615378307
126.4223,12.022194548593069,2.414905e-05,3.361324e-05,1.3919073421107664
146.9294,13.972327917685805,2.415603e-05,3.362295e-05,1.3919071138759145
170.763,16.238796539071018,2.416355e-05,3.363342e-05,1.3919072321740802
198.4627,18.87291395615379,2.417166e-05,3.36447e-05,1.3919068859979
230.6556,21.934314570471056,2.41804e-05,3.365686e-05,1.3919066682106167
268.0705,25.492303998096993,2.418982e-05,3.366998e-05,1.3919070088161052
311.5546,29.627447164852196,2.419998e-05,3.368413e-05,1.3919073486837592
362.0923,34.43335610210798,2.421094e-05,3.369938e-05,1.3919071295868728
420.8278,40.01883910557247,2.422276e-05,3.371583e-05,1.3919070328897287
489.0908,46.510344690193286,2.423551e-05,3.373358e-05,1.3919071643221042
568.4268,54.05484298445924,2.424927e-05,3.375273e-05,1.3919070553464084
660.6321,62.82315407365307,2.426411e-05,3.377338e-05,1.3919068121600175
767.7941,73.0137803493681,2.428012e-05,3.379567e-05,1.391907041645593
892.339,84.85744256588427,2.42974e-05,3.381972e-05,1.3919069530073176
1037.087,98.62232911295506,2.431604e-05,3.384567e-05,1.3919071526449207
1205.314,114.61996340948477,2.433617e-05,3.387369e-05,1.39190718999744
1400.829,133.21256429689285,2.435789e-05,3.390393e-05,1.391907509230069
1628.06,154.8212147444116,2.438135e-05,3.393657e-05,1.3919069288616095
1892.149,179.93489592362917,2.440667e-05,3.397181e-05,1.391906802525703
2199.077,209.1223741486779,2.443401e-05,3.400987e-05,1.3919070181276016
2555.793,243.04446819850867,2.446354e-05,3.405098e-05,1.3919073036854028
2970.371,282.46897931376776,2.449544e-05,3.409537e-05,1.3919068202081692
3452.199,328.2886642503612,2.45299e-05,3.414334e-05,1.3919070195964924
4012.185,381.54082495688556,2.456713e-05,3.419516e-05,1.3919069911707227
4663.006,443.430987359483,2.460737e-05,3.425117e-05,1.3919069774624433
5419.399,515.3605741585995,2.465086e-05,3.431171e-05,1.3919072194641486
6298.487,598.9579059689968,2.469788e-05,3.437716e-05,1.3919073216000724
7320.172,696.1155738597037,2.474873e-05,3.444793e-05,1.3919069786611273
8507.587,809.0334225297375,2.480373e-05,3.452449e-05,1.391907184927428
9887.614,940.2678097882454,2.486324e-05,3.460732e-05,1.3919070885371334
11491.5,1092.790185395751,2.492764e-05,3.469696e-05,1.3919071360144804
13355.55,1270.0529922605594,2.499736e-05,3.479401e-05,1.3919073854199004
15521.97,1476.0698319633889,2.507286e-05,3.48991e-05,1.3919074250005783
18039.81,1715.5051398341488,2.515463e-05,3.501291e-05,1.3919071757366337
20966.07,1993.7793605987288,2.524317e-05,3.513615e-05,1.3919071970754862
24367.0,2317.1925725569563,2.533896e-05,3.526948e-05,1.391907165882104
28319.61,2693.068081820072,2.544237e-05,3.541341e-05,1.391906886033023
32913.37,3129.9140846972937,2.555354e-05,3.556815e-05,1.3919069530092503
38252.29,3637.6214663805445,2.567227e-05,3.573341e-05,1.3919069096733558
44457.24,4227.684422554356,2.579789e-05,3.590826e-05,1.3919068574988112
51668.71,4913.462923035225,2.592914e-05,3.609095e-05,1.3919069433077995
60049.96,5710.482262664354,2.606411e-05,3.627882e-05,1.391907109047652
69790.75,6636.78776760288,2.62003e-05,3.646838e-05,1.3919069628973715
81111.6,7713.349902253492,2.633464e-05,3.665537e-05,1.3919070091711905
94268.82,8964.5425997336,2.646369e-05,3.6835e-05,1.391907175454368
109560.3,10418.69386494488,2.658392e-05,3.700234e-05,1.391906836914947
127332.2,12108.721963612134,2.669198e-05,3.715275e-05,1.3919068574155982
147986.9,14072.89143167928,2.678516e-05,3.728245e-05,1.3919069365275398
171992.1,16355.678444555066,2.686172e-05,3.738902e-05,1.391907145186533
199891.1,19008.74839907415,2.692121e-05,3.747182e-05,1.3919069759494465
232315.8,22092.192155276698,2.696452e-05,3.75321e-05,1.391906846478261
270000.0,25675.790806844427,2.699377e-05,3.757282e-05,1.391907095600207
