# Purpose: compare 150-cell matrix recovery with the digitized SPE6 Fig. 1 reference.
time_years,oil_saturation_inventory_recovery_pct,oil_component_mass_recovery_pct,spe6_digitized_recovery_pct,volume_minus_spe6_percentage_points,matrix_oil_saturation,matrix_gas_saturation,matrix_water_saturation,matrix_mean_pressure_pa
0.0,0.0,0.0,0.0,0.0,0.800000000369109,0.0,0.19999999963089127,31127732.832866713
0.25,9.459955713748258,9.457389372769477,8.75,0.7099557137482577,0.7243212318394656,0.07567792644009001,0.20000089650455374,31125346.917698245
0.5,16.478076270874244,16.475269316949024,17.5,-1.0219237291257564,0.6681763680206714,0.13182217220008294,0.20000146184039852,31124849.639060304
0.75,21.66496004887256,21.661975177998972,22.75,-1.0850399511274382,0.6266813501629013,0.17331663733819558,0.20000201303672105,31124494.052346606
1.0,25.94113058793469,25.937938340042454,28.000000000000004,-2.058869412065313,0.5924720525926063,0.20752536738263316,0.20000258007952187,31124085.066814855
1.25,29.091354866286046,29.087987381319667,30.5,-1.4086451337139536,0.567270311150454,0.2327265472367637,0.20000314276897704,31123739.65637334
1.5,31.262968955027116,31.25944031153678,33.0,-1.737031044972884,0.5498974545536158,0.25009883680907846,0.20000370863920316,31123412.442563612
1.75,32.71061971239521,32.701185003136146,34.5,-1.7893802876047928,0.5383162835248269,0.2616977822079879,0.20000425993141185,31123191.277632233
2.0,33.908265661258,33.90496930942175,36.0,-2.0917343387420004,0.5287351434803789,0.271260392619393,0.20000480628126907,31123006.327386755
2.25,34.89345891584591,34.890094195803115,36.75,-1.8565410841540881,0.520853627766562,0.2791410299246014,0.20000535459952348,31122820.101073444
2.5,35.69529994583027,35.691884551442485,37.5,-1.8047000541697287,0.5144389220511056,0.28555519772306365,0.20000589719283057,31122672.574023288
2.75,36.351774424659354,36.34831669502295,38.0,-1.6482255753406463,0.5091871438221628,0.29080643157492864,0.20000643588427397,31122552.272045087
3.0,36.893699744981504,36.890204162315335,38.5,-1.6063002550184962,0.5048517577256887,0.29514126893726467,0.2000069733370889,31122443.522105787
3.25,37.34000678627548,37.336470043180505,38.75,-1.409993213724519,0.5012813197576185,0.29871117523859525,0.2000075117296831,31122333.67784456
3.5,37.71030465649182,37.70673565494979,39.0,-1.2896953435081784,0.49831895115968816,0.30167300647568707,0.20000804685427295,31122244.79044669
3.75,38.01879206477543,38.015197305076164,39.25,-1.2312079352245675,0.4958510633946602,0.30414036014595686,0.2000085795426457,31122171.776494272
4.0,38.276759876849184,38.273144259457084,39.5,-1.2232401231508163,0.49378733026726523,0.3062035615309099,0.20000911035169605,31122111.150959298
4.25,38.49325842771033,38.48962573427964,39.625,-1.1317415722896698,0.49205534959494496,0.30793501224462544,0.20000963967608928,31122060.39316618
4.5,38.67558072114631,38.67193392171794,39.75,-1.0744192788536893,0.4905967777002032,0.3093930555658716,0.20001016780651013,31122017.614315644
4.75,38.82962861685352,38.82597007670297,39.875,-1.045371383146481,0.48936439996381936,0.31062490583736607,0.20001069496324947,31121981.36254893
5.0,38.96019609888521,38.95652772362032,40.0,-1.0398039011147873,0.48831986470735317,0.31166891454456086,0.20001122131682078,31121950.500945102
